Word	happiness_average	happiness_standard_deviation
ou	4.86	0.9691
rd	4.86	0.8084
recuerdo	4.86	1.1068
ridin	4.86	1.3554
sensitive	4.86	1.4144
seo	4.86	1.125
shapiro	4.86	1.0304
sm	4.86	0.7287
smoked	4.86	1.9589
sooooo	4.86	1.05
sr	4.86	1.1954
staring	4.86	1.2779
tellin	4.86	1.3095
tempted	4.86	1.7263
tract	4.86	1.2456
voor	4.86	0.5349
vor	4.86	1.0692
vt	4.86	1.5909
w	4.86	0.9478
were	4.86	1.143
wie	4.86	1.3704
ze	4.86	1.3403
toch	4.86	1.1694
askin	4.86	1.2416
cinta	4.86	1.3693
eminem	4.86	1.9685
geld	4.86	1.5943
ibid	4.86	1.3693
isn	4.86	0.9789
kane	4.86	1.1547
labour	4.86	1.8708
pienso	4.86	1.0801
soc	4.86	1.307
miedo	4.85	1.2026
tienes	4.85	1.1297
explicit	4.85	1.6013
@taylorswift13	4.84	1.8775
abt	4.84	0.9765
administration	4.84	1.5696
amo	4.84	1.1669
an	4.84	0.8418
awhile	4.84	0.9553
b	4.84	1.2513
b7	4.84	1.0568
capitalist	4.84	2.3418
crawl	4.84	1.5954
d1	4.84	1.2349
dam	4.84	1.2349
dats	4.84	1.2513
decades	4.84	1.3756
dem	4.84	1.2014
desde	4.84	0.6809
di	4.84	1.2513
en	4.84	1.0568
est	4.84	1.0568
filed	4.84	1.1314
friedman	4.84	1.4619
hab	4.84	0.9337
harris	4.84	0.8889
hm	4.84	1.2014
hows	4.84	1.1843
ht	4.84	0.5481
investigating	4.84	1.1669
invisible	4.84	1.7066
jd	4.84	0.7918
ka	4.84	0.8657
ke	4.84	0.9971
keine	4.84	1.1132
lo	4.84	1.1132
maintenance	4.84	1.5954
mar	4.84	1.2349
mining	4.84	1.5434
mn	4.84	0.7656
nao	4.84	1.3149
need	4.84	1.4337
nt	4.84	0.6809
o_o	4.84	1.1493
oh	4.84	1.0759
proc	4.84	1.0174
rates	4.84	1.1493
reagan	4.84	1.5301
sanders	4.84	1.2993
secret	4.84	1.6081
setup	4.84	1.4049
sharp	4.84	1.6946
sih	4.84	0.7103
sta	4.84	1.0759
t	4.84	0.7656
temp	4.84	1.4194
tooth	4.84	1.4194
vc	4.84	0.8657
vernon	4.84	1.2349
ward	4.84	1.1132
duele	4.84	1.0324
horns	4.84	1.9295
inevitably	4.84	1.5322
jeg	4.84	1.1609
kneel	4.84	1.3896
partial	4.84	1.3593
puedes	4.84	1.264
throwin	4.84	1.5988
zeg	4.84	1.0675
geen	4.83	1.4923
louder	4.83	1.5483
tutto	4.83	1.0785
tout	4.83	1.1096
temptation	4.83	1.9115
#omgfacts	4.82	1.6866
@stephenfry	4.82	1.4241
@tweetmeme	4.82	1.746
acho	4.82	0.7197
addenda	4.82	1.2403
administration's	4.82	1.5077
altered	4.82	1.3506
ang	4.82	0.8734
att	4.82	1.1008
ayer	4.82	1.1192
b/c	4.82	1.32
b2	4.82	1.1008
beard	4.82	1.2887
cane	4.82	1.7922
cases	4.82	0.919
causing	4.82	1.1899
che	4.82	1.0821
col	4.82	0.9833
cum	4.82	2.0572
de	4.82	0.8497
deh	4.82	0.9409
demi	4.82	0.8734
doch	4.82	0.8003
duties	4.82	1.6866
eso	4.82	1.0821
examination	4.82	1.5211
exposure	4.82	1.5211
finna	4.82	1.0821
flipped	4.82	1.3354
gm	4.82	1.0821
hes	4.82	1.1192
hid	4.82	1.1192
hoje	4.82	1.0039
hood	4.82	1.2887
impact	4.82	1.32
israeli	4.82	1.746
lagi	4.82	0.919
ll	4.82	0.7475
mideast	4.82	1.5609
municipal	4.82	0.9833
must	4.82	1.4384
n	4.82	1.0821
ne	4.82	0.5602
ng	4.82	1.207
ot	4.82	1.1008
over	4.82	1.4803
pst	4.82	1.4097
quando	4.82	0.9624
ralph	4.82	1.4384
repeated	4.82	1.1726
rushing	4.82	1.4665
sellin	4.82	1.4525
sich	4.82	0.9409
smell	4.82	1.5477
ticking	4.82	1.5868
tt	4.82	1.207
udah	4.82	0.6908
vegan	4.82	1.7106
wah	4.82	1.8035
warum	4.82	1.3354
witness	4.82	1.3656
wut	4.82	1.1373
assumptions	4.82	1.7192
dawg	4.82	1.603
dro	4.82	1.2857
gaan	4.82	1.4815
nerve	4.82	1.4815
scheme	4.82	1.6668
sus	4.82	0.9932
vas	4.82	1.1845
vein	4.82	1.5367
werden	4.82	1.3177
otro	4.81	0.891
toda	4.81	1.299
detection	4.81	1.2792
@jonathanrknight	4.8	1.2778
advisory	4.8	1.1952
ak	4.8	0.9689
ao	4.8	0.8571
apa	4.8	0.7825
asap	4.8	1.5386
bankers	4.8	1.8626
bij	4.8	0.8806
bosnia	4.8	1.7023
c1	4.8	0.833
cock	4.8	2.0
det	4.8	0.8806
dey	4.8	0.7559
didn	4.8	1.2454
eds	4.8	1.1066
el	4.8	1.1249
es	4.8	0.7825
eu	4.8	1.069
fa	4.8	0.8571
giuliani	4.8	1.7957
h	4.8	0.8806
it'd	4.8	1.069
johns	4.8	1.3851
judy	4.8	1.069
kan	4.8	1.1429
lautner	4.8	1.2617
lejos	4.8	1.1249
ltd	4.8	1.1066
lugar	4.8	1.3248
meetings	4.8	1.5386
mein	4.8	1.4142
mental	4.8	1.8183
naar	4.8	0.8081
nai	4.8	1.3851
nd	4.8	0.9476
nerd	4.8	1.8736
nom	4.8	1.3702
olvidar	4.8	1.178
one-time	4.8	1.2122
orthodox	4.8	1.3553
pataki	4.8	1.2289
pe	4.8	0.7559
proceedings	4.8	1.3553
pussy	4.8	2.665
rehabilitation	4.8	1.8626
rep	4.8	1.5253
sachs	4.8	1.3851
slightly	4.8	0.8571
superintendent	4.8	1.3093
sur	4.8	1.178
versus	4.8	1.2289
wats	4.8	0.8571
wen	4.8	1.0498
what	4.8	0.7559
what's	4.8	0.8571
whos	4.8	0.6701
widespread	4.8	1.1429
yrs	4.8	1.1249
zonder	4.8	1.2936
petition	4.8	1.5778
gimmie	4.8	1.5809
jamais	4.8	1.4858
laat	4.8	1.1177
manos	4.8	1.2744
niets	4.8	1.3537
passive	4.8	1.7675
tous	4.8	1.1722
mase	4.79	1.1478
wij	4.79	0.9444
#p2	4.78	0.6788
1/2-bath	4.78	1.1657
aja	4.78	0.9538
asi	4.78	1.0554
at;t	4.78	1.0746
b1	4.78	0.975
bc	4.78	0.8154
belly	4.78	1.4609
blizzard	4.78	2.0926
ce	4.78	0.8873
conditions	4.78	1.4748
confess	4.78	1.5687
dann	4.78	1.1657
des	4.78	1.2982
dha	4.78	1.1657
difference	4.78	1.183
em	4.78	1.148
ep	4.78	1.2002
essa	4.78	0.8873
exit	4.78	1.5687
fate	4.78	1.2664
fo	4.78	1.1657
funk	4.78	1.6199
gat	4.78	1.4609
gimme	4.78	1.2824
gli	4.78	0.975
israel	4.78	1.7296
je	4.78	1.0554
juss	4.78	0.6788
kein	4.78	0.9957
llorar	4.78	1.4327
meds	4.78	1.3746
military	4.78	1.753
mud	4.78	1.7761
nasdaq	4.78	1.5022
nos	4.78	0.9322
nur	4.78	1.0359
ohh	4.78	1.3445
pena	4.78	1.3138
r	4.78	1.0554
reserved	4.78	1.4039
reversed	4.78	1.4327
sigo	4.78	0.9322
sooo	4.78	1.5022
stakes	4.78	0.9538
suddenly	4.78	1.3138
though	4.78	1.0359
throwing	4.78	1.2337
tht	4.78	0.8154
ver	4.78	0.9538
wallace	4.78	1.3445
wel	4.78	0.6158
wieder	4.78	0.975
witnesses	4.78	1.4609
wud	4.78	1.2501
tijd	4.78	1.4757
unseen	4.78	1.2122
@aplusk	4.76	1.1168
@ddlovato	4.76	1.1877
ahl	4.76	1.0412
aside	4.76	0.9161
bak	4.76	0.8935
board	4.76	1.5194
buat	4.76	0.8935
chilling	4.76	2.1812
cnt	4.76	0.7709
coz	4.76	1.0412
dat	4.76	1.2048
departure	4.76	1.5194
dolor	4.76	1.9226
economics	4.76	1.4223
else	4.76	0.8935
ese	4.76	1.0606
essay	4.76	1.6606
gas	4.76	1.6483
gd	4.76	0.8221
governors	4.76	1.546
kobe	4.76	1.7907
lately	4.76	1.6107
les	4.76	1.2048
management	4.76	1.4365
min	4.76	0.744
officials	4.76	1.3637
ought	4.76	1.2545
oughta	4.76	1.2867
pieces	4.76	1.2707
pig	4.76	2.105
por	4.76	1.0214
pulled	4.76	1.1528
quand	4.76	1.2867
re-election	4.76	1.6971
repair	4.76	1.8245
report	4.76	1.3334
sa	4.76	0.9161
sans	4.76	1.2048
sho	4.76	1.1528
sinai	4.76	1.1528
somewhat	4.76	1.3334
spent	4.76	1.546
ta	4.76	1.1704
targets	4.76	1.4786
telerate	4.76	1.2382
tem	4.76	0.9161
th	4.76	0.9161
tha	4.76	1.0412
took	4.76	1.0214
trippin	4.76	1.802
tuh	4.76	1.1877
tupac	4.76	1.7792
weer	4.76	0.9161
weiss	4.76	1.4078
wenn	4.76	1.0012
whats	4.76	0.9806
wore	4.76	1.3637
would've	4.76	1.0012
woulda	4.76	1.2382
xd	4.76	1.135
af	4.76	1.182
coulda	4.76	1.3774
drift	4.76	1.4795
goed	4.76	1.011
ihr	4.76	1.0514
niente	4.76	1.5617
tek	4.76	1.4073
sword	4.75	1.8552
&c	4.74	1.0314
'em	4.74	0.9858
@adamlambert	4.74	2.0385
admit	4.74	1.2747
alley	4.74	1.192
authority	4.74	1.5884
b-includes	4.74	1.1747
colo	4.74	1.3524
corner	4.74	1.3524
dag	4.74	1.3219
dah	4.74	1.2423
dealers	4.74	1.4957
depending	4.74	1.5493
dow	4.74	1.1747
faz	4.74	0.6642
fml	4.74	1.2747
gona	4.74	1.0844
had	4.74	0.8762
heavily	4.74	1.1214
hook	4.74	1.1395
imma	4.74	1.1214
judgment	4.74	1.8385
licht	4.74	1.2747
load	4.74	1.0654
long	4.74	1.6637
mines	4.74	1.5493
minha	4.74	0.9858
muito	4.74	0.9216
myspace	4.74	1.8049
older	4.74	1.7821
operate	4.74	1.7001
otherwise	4.74	0.8283
policy	4.74	1.4401
pull	4.74	1.1747
quem	4.74	1.2747
res	4.74	1.0844
resist	4.74	1.6011
saber	4.74	1.6759
smaller	4.74	1.482
smh	4.74	0.7508
than	4.74	1.0461
trials	4.74	1.7239
yu	4.74	1.4682
zijn	4.74	0.6328
ci	4.73	1.1863
cling	4.73	1.4688
niemand	4.73	1.1863
possessed	4.73	1.9124
refrain	4.73	1.6555
thangs	4.73	1.5381
weg	4.73	1.2209
bwoy	4.73	1.5401
#tcot	4.72	0.9697
'i	4.72	1.1959
43d	4.72	1.1613
@johncmayer	4.72	1.4003
a3	4.72	1.1256
alien	4.72	1.6293
assume	4.72	1.1787
bent	4.72	1.5654
bestie	4.72	1.5524
citing	4.72	1.4434
claims	4.72	1.4434
condition	4.72	1.3407
ct	4.72	1.2784
d	4.72	0.9044
dealer	4.72	1.7961
depends	4.72	0.8816
e	4.72	0.9044
estas	4.72	1.0309
fits	4.72	1.7847
government's	4.72	1.7266
guessing	4.72	1.6293
huh	4.72	1.3856
loca	4.72	1.5391
medical	4.72	1.6041
meh	4.72	1.1256
melhor	4.72	1.3559
offset	4.72	1.1959
period	4.72	1.4291
pulmonary	4.72	1.3856
redman	4.72	1.4988
repeatedly	4.72	0.9485
ses	4.72	1.1959
sum1	4.72	1.5391
surrounded	4.72	1.5524
tho	4.72	1.2461
umm	4.72	1.4988
underneath	4.72	1.2296
vai	4.72	0.8091
wake	4.72	1.6542
wird	4.72	1.1073
wk	4.72	0.9267
wo	4.72	1.2784
doesn	4.71	1.2247
ei	4.71	0.8898
induced	4.71	1.6457
interference	4.71	1.7321
komm	4.71	1.118
obligations	4.71	1.6073
perder	4.71	1.2583
pues	4.71	1.5811
tus	4.71	1.3693
voel	4.71	1.1291
boundaries	4.7	1.5592
affairs	4.7	1.594
almost	4.7	1.0351
boi	4.7	1.165
c	4.7	0.8391
chasing	4.7	1.374
corporate	4.7	1.5286
corps	4.7	1.4463
cos	4.7	0.7626
crossed	4.7	1.374
duty	4.7	1.2657
except	4.7	1.4033
excessive	4.7	1.7642
geef	4.7	1.2164
gue	4.7	0.9949
hella	4.7	1.5551
hound	4.7	1.5811
however	4.7	0.9742
inc	4.7	1.233
isso	4.7	1.0738
kno	4.7	0.8631
lawmakers	4.7	1.4604
legislative	4.7	1.5419
legislature	4.7	1.5286
loc	4.7	1.1112
los	4.7	1.1824
mau	4.7	0.9313
maybe	4.7	1.1112
mere	4.7	1.3132
nail	4.7	1.4321
neva	4.7	0.9949
nichts	4.7	1.1824
nuh	4.7	1.3887
nya	4.7	0.7354
payment	4.7	2.0025
pullin	4.7	1.4178
rocky	4.7	1.7291
sd	4.7	1.3132
senate	4.7	1.4178
ser	4.7	1.0926
serbian	4.7	1.3286
seriously	4.7	1.5551
slight	4.7	1.0546
striking	4.7	1.8763
tweeps	4.7	1.6568
wrk	4.7	1.5419
wth	4.7	1.0546
yet	4.7	0.789
frontin	4.69	1.5573
iets	4.69	1.1218
sind	4.69	1.2617
weh	4.69	1.2111
shakes	4.69	1.8237
uns	4.69	1.1878
zou	4.69	1.4754
pasar	4.68	1.0856
ab	4.68	1.3619
ba	4.68	1.2848
bodies	4.68	1.6218
borrowed	4.68	1.4348
clinical	4.68	1.3768
cross	4.68	1.7076
curb	4.68	1.2848
cuz	4.68	1.7195
deputy	4.68	1.3468
doen	4.68	0.9781
dun	4.68	1.3915
einen	4.68	1.1147
gibt	4.68	1.2362
har	4.68	1.3768
how	4.68	1.019
inevitable	4.68	1.3619
institutions	4.68	1.6835
islam	4.68	2.325
knives	4.68	2.0941
kono	4.68	1.1507
nem	4.68	1.0962
oldest	4.68	1.6468
op	4.68	0.7407
overcast	4.68	1.6591
patient's	4.68	1.5836
pq	4.68	1.1683
qtr	4.68	1.1683
rapper	4.68	1.9737
requires	4.68	1.019
ruling	4.68	1.449
shady	4.68	1.7076
sodium	4.68	1.5043
spots	4.68	1.4061
threw	4.68	1.0583
uu	4.68	1.2196
wereld	4.68	1.1507
wht	4.68	1.3005
wir	4.68	1.3161
bg	4.67	0.9217
bump	4.67	1.4199
dein	4.67	1.1436
dependence	4.67	1.962
flesh	4.67	1.5598
hustle	4.67	1.688
immer	4.67	1.0486
nooit	4.67	1.4774
dicen	4.67	1.1361
tumble	4.67	1.7023
13th	4.66	1.6856
agora	4.66	1.6113
borrow	4.66	1.5729
drip	4.66	1.394
forms	4.66	1.3342
freakin	4.66	1.8584
ga	4.66	0.8715
hole	4.66	0.9607
if	4.66	0.8947
inquiry	4.66	1.3793
islamic	4.66	1.5201
iz	4.66	1.1886
minor	4.66	1.2554
nach	4.66	1.2875
nuttin	4.66	1.3793
odd	4.66	1.6489
pile	4.66	0.8947
punk	4.66	1.5201
quisiera	4.66	1.4086
ruff	4.66	1.6239
seu	4.66	1.1537
shorty	4.66	1.4654
strung	4.66	1.3342
ter	4.66	0.9392
theres	4.66	1.239
tua	4.66	1.1359
um	4.66	0.9172
v	4.66	1.3032
wanting	4.66	1.4792
yeltsin	4.66	1.0616
yur	4.66	1.3342
indirect	4.65	1.3927
rappin	4.65	1.91
raps	4.65	1.7387
stripped	4.65	1.9317
tire	4.65	1.4938
undone	4.65	1.2341
wolves	4.65	2.2781
mek	4.65	0.8377
#ff	4.64	1.3667
b3	4.64	0.9848
crazy	4.64	2.2566
dry	4.64	1.2578
euch	4.64	1.1911
f	4.64	1.4675
freak	4.64	1.9247
freaky	4.64	1.9458
fucking	4.64	2.926
fuera	4.64	1.1563
ganz	4.64	1.3211
government	4.64	1.6383
heb	4.64	0.9424
hv	4.64	1.1386
ini	4.64	1.1205
kijk	4.64	1.2578
lbs	4.64	1.1021
left	4.64	1.4394
lust	4.64	2.038
muslim	4.64	1.6995
nj	4.64	1.0835
po	4.64	1.3056
pretend	4.64	1.2739
que	4.64	1.3962
slit	4.64	1.5086
soviet	4.64	1.3365
un	4.64	0.7217
yer	4.64	1.1205
compton	4.63	1.4244
fragments	4.63	1.5505
geht	4.63	1.318
stares	4.63	1.4957
stiff	4.63	1.6795
wasn	4.63	1.2697
zij	4.63	1.4676
#mm	4.62	1.4553
**municipal	4.62	1.3536
@joejonas	4.62	1.427
@nickjonas	4.62	1.5635
altijd	4.62	1.3231
bull	4.62	1.3076
bureau	4.62	1.2919
dick	4.62	1.783
diet	4.62	1.7248
gasoline	4.62	1.4553
gov	4.62	1.4968
governments	4.62	1.701
gray	4.62	1.3384
holes	4.62	0.9666
holler	4.62	1.427
lease	4.62	1.2599
lebanon	4.62	1.3536
noone	4.62	1.3981
ol'	4.62	1.6022
out	4.62	1.0476
palestinian	4.62	1.6022
past	4.62	1.6022
peasants	4.62	1.6149
pigs	4.62	2.0293
pressed	4.62	1.3076
serbs	4.62	1.3686
short-term	4.62	1.3076
wid	4.62	1.0669
year-ago	4.62	1.4553
atomic	4.61	1.789
daze	4.61	1.4407
feds	4.61	2.1967
ib	4.61	1.3967
jij	4.61	1.1331
inspection	4.61	1.5506
dit	4.6	1.2839
76th	4.6	1.088
bind	4.6	1.7843
bound	4.6	1.3553
bruh	4.6	1.1952
commercial	4.6	1.6162
dar	4.6	1.2122
differences	4.6	1.3997
fiscal	4.6	1.3553
flames	4.6	1.8736
half	4.6	1.0102
ik	4.6	0.9476
jg	4.6	1.069
later	4.6	1.3553
lemme	4.6	1.1249
li	4.6	1.1606
little	4.6	1.3401
mal	4.6	1.3702
nme	4.6	0.7825
nunca	4.6	1.0302
obligation	4.6	1.4142
pretax	4.6	1.4569
q	4.6	0.9689
recall	4.6	2.2768
sack	4.6	1.4983
shawty	4.6	1.7496
sticky	4.6	1.3248
tight	4.6	1.2454
trigger	4.6	1.9483
under	4.6	1.3093
used	4.6	1.4846
vs	4.6	0.833
was	4.6	0.8081
bark	4.59	1.8475
disguise	4.59	1.3832
gots	4.59	1.4849
och	4.59	1.0977
seldom	4.59	1.5187
dir	4.58	0.9416
tarde	4.58	1.4267
@revrunwisdom	4.58	1.3566
aan	4.58	1.3415
als	4.58	1.0897
although	4.58	1.3262
bgt	4.58	1.2469
busy	4.58	1.8305
c-includes	4.58	1.2792
cit	4.58	1.2137
congressional	4.58	1.7507
differ	4.58	1.3415
emo	4.58	1.3864
excuse	4.58	1.5265
fighter	4.58	1.6548
gtgt	4.58	1.4441
gunna	4.58	1.1968
hazy	4.58	1.4859
hit	4.58	1.808
insisted	4.58	1.3415
inspector	4.58	1.3107
institution	4.58	1.5791
jigga	4.58	1.3716
jurors	4.58	1.401
kom	4.58	1.2137
lls	4.58	1.4299
lock	4.58	1.012
police	4.58	1.8526
radical	4.58	1.6174
saudi	4.58	1.4299
senator	4.58	1.4299
stops	4.58	1.2137
whatever	4.58	0.9916
durch	4.57	1.472
unreal	4.57	1.6708
zal	4.57	1.1902
dose	4.56	1.5004
uit	4.56	1.3824
#idothat2	4.56	1.6922
-p	4.56	1.2149
@jordanknight	4.56	1.3118
ads	4.56	1.8424
anymore	4.56	1.1634
auf	4.56	1.1457
blade	4.56	1.6183
blues	4.56	1.9811
bout	4.56	1.3273
boxing	4.56	1.8534
broker	4.56	1.567
bust	4.56	1.6433
crunk	4.56	1.728
gon	4.56	1.198
grey	4.56	1.6433
hoe	4.56	1.198
kuwait	4.56	1.6801
merely	4.56	1.1457
outta	4.56	1.1278
queda	4.56	1.1457
seh	4.56	1.5005
stoned	4.56	2.2054
w/o	4.56	1.2961
yg	4.56	1.0529
separately	4.55	1.5147
uhh	4.55	1.2427
gaat	4.55	1.2912
appendix	4.54	1.237
#epicpetwars	4.54	1.1988
#formspringme	4.54	1.2324
#shoutout	4.54	1.7168
arbitrary	4.54	1.5012
axe	4.54	1.8649
beneath	4.54	1.1287
bit	4.54	1.1287
blocks	4.54	1.4172
bom	4.54	1.4598
caused	4.54	0.9082
command	4.54	1.5806
conn	4.54	1.4316
conservative	4.54	1.9505
depois	4.54	1.3433
eh	4.54	1.1988
er	4.54	1.1104
gah	4.54	1.3734
gut	4.54	1.073
hw	4.54	1.1817
ima	4.54	1.2324
institutional	4.54	1.94
iv	4.54	1.6686
ludacris	4.54	1.7521
narrow	4.54	0.9941
oder	4.54	1.2651
pending	4.54	1.2651
pirate	4.54	2.2058
prolly	4.54	1.1988
regulation	4.54	1.4598
rs	4.54	1.4737
senators	4.54	1.7286
sheesh	4.54	1.5147
terms	4.54	1.0539
twisting	4.54	1.4028
urged	4.54	1.2969
chains	4.53	1.769
chloride	4.53	1.5425
waits	4.53	1.2433
6am	4.52	1.6689
blew	4.52	1.4741
clique	4.52	1.9085
crucial	4.52	1.5418
dependent	4.52	1.6066
former	4.52	1.432
gak	4.52	1.3285
hadn	4.52	1.1471
investigations	4.52	1.2974
leave	4.52	1.3285
muss	4.52	1.0736
omfg	4.52	2.0726
previously	4.52	1.3285
rule	4.52	1.5285
shud	4.52	1.1993
small	4.52	1.3589
und	4.52	1.1471
utterly	4.52	1.7052
weight	4.52	1.555
cocked	4.51	1.6971
daar	4.51	1.3559
pill	4.51	1.6473
@iamdiddy	4.5	1.8979
ages	4.5	1.4604
arab	4.5	1.594
corporations	4.5	1.6194
disposed	4.5	1.7291
distance	4.5	1.3132
dong	4.5	1.3887
few	4.5	0.8864
govt	4.5	1.8654
nah	4.5	1.1294
outst	4.5	1.1473
palestinians	4.5	1.1995
prob	4.5	1.1112
randomly	4.5	1.1294
regulatory	4.5	1.488
reverse	4.5	1.1112
sangre	4.5	1.233
temporary	4.5	1.3439
goo	4.49	1.5859
couldn	4.49	1.7335
army	4.48	2.0126
blow	4.48	1.7407
bs	4.48	1.3285
despite	4.48	1.3438
dunno	4.48	1.2974
elections	4.48	1.5285
essays	4.48	1.787
grabbed	4.48	1.7052
heck	4.48	1.3886
hidden	4.48	1.432
issue	4.48	1.4032
lehman	4.48	1.313
ms	4.48	1.555
negroes	4.48	2.0428
nuthin	4.48	1.4741
snoop	4.48	1.7984
y	4.48	1.1648
ashes	4.47	1.959
commanded	4.47	1.5956
nerves	4.47	1.6968
spill	4.47	1.6845
craving	4.46	1.4598
crowds	4.46	1.8975
gats	4.46	1.6686
hammer	4.46	1.5414
isn't	4.46	1.073
kicks	4.46	1.5677
lecture	4.46	1.4316
neither	4.46	1.2811
ol	4.46	1.3433
plastic	4.46	1.2811
politics	4.46	1.7637
required	4.46	1.3734
rigid	4.46	1.6062
rumble	4.46	1.6563
scarcely	4.46	1.4028
short	4.46	1.1466
shorter	4.46	1.1643
shy	4.46	1.7404
skool	4.46	1.7867
thrown	4.46	1.1643
tossed	4.46	1.4875
tricky	4.46	1.5806
compelled	4.45	1.2758
infantry	4.45	2.0823
auch	4.44	1.1457
bail	4.44	1.7162
blank	4.44	0.8369
bottom	4.44	1.3273
busta	4.44	1.3874
cop	4.44	1.6922
correction	4.44	1.3118
court's	4.44	1.3273
errands	4.44	1.5407
ew	4.44	1.1095
gay	4.44	2.1774
gaza	4.44	1.3874
harder	4.44	1.473
haze	4.44	1.5539
liable	4.44	1.7398
push	4.44	1.473
rag	4.44	1.2643
require	4.44	1.3118
tank	4.44	1.6056
triste	4.44	1.5928
unusual	4.44	1.4868
wat	4.44	1.3118
weed	4.44	2.1011
glocks	4.44	1.5697
longing	4.43	1.6956
removal	4.43	1.472
-d	4.42	1.1265
behind	4.42	1.2137
below	4.42	1.2137
boa	4.42	1.7623
breaks	4.42	1.8305
commercials	4.42	1.8745
constraints	4.42	1.5919
controlling	4.42	2.0513
dum	4.42	1.5265
emotional	4.42	1.7623
hides	4.42	1.1082
knocked	4.42	1.1082
na	4.42	0.9278
nada	4.42	1.1265
niet	4.42	1.3864
notwithstanding	4.42	1.4441
recalled	4.42	1.7154
regulations	4.42	1.295
remains	4.42	1.4441
republican	4.42	1.9176
sem	4.42	1.2304
serious	4.42	1.4581
stumble	4.42	1.5791
treatment	4.42	1.5398
vietnam	4.42	1.9804
regime	4.42	1.7964
#retweetthisif	4.4	1.4428
beats	4.4	1.9272
brokers	4.4	1.2936
controlled	4.4	1.7613
cus	4.4	1.3997
desert	4.4	1.8295
detroit	4.4	1.3553
fuk	4.4	1.7728
glock	4.4	1.8406
hearings	4.4	1.6537
lobbying	4.4	1.5908
morir	4.4	1.4142
muero	4.4	1.4142
nicht	4.4	1.1952
opposite	4.4	1.4142
shyt	4.4	1.4286
tied	4.4	1.3553
wouldn	4.4	1.4428
dich	4.4	1.1059
#haiti	4.38	1.9784
3am	4.38	1.2271
authorities	4.38	1.1586
chills	4.38	1.76
competitors	4.38	1.5635
economy	4.38	1.6646
effing	4.38	1.3981
far	4.38	1.817
frozen	4.38	1.5372
mortality	4.38	2.5546
plaintiff	4.38	1.3981
prices	4.38	1.6022
rarely	4.38	1.3686
rebel	4.38	1.6022
resistance	4.38	1.6274
slips	4.38	1.4693
tangled	4.38	1.6022
acids	4.38	1.9529
naive	4.37	1.9006
querer	4.37	1.4676
shack	4.36	1.4054
@jonasbrothers	4.36	1.7468
billings	4.36	1.3667
consequence	4.36	1.3211
custody	4.36	1.6995
dang	4.36	1.4251
divided	4.36	1.2739
division	4.36	1.2898
duh	4.36	1.2415
end	4.36	1.7351
grease	4.36	1.3365
hide	4.36	1.4107
irregular	4.36	1.5221
juvenile	4.36	1.8818
morn	4.36	1.6258
needle	4.36	1.8268
operations	4.36	1.77
pulling	4.36	1.3962
reducing	4.36	1.4813
sharply	4.36	1.6383
strange	4.36	1.7468
tease	4.36	2.0875
burnin	4.35	1.7319
strictly	4.35	1.7625
storms	4.34	1.9812
adios	4.34	1.7215
arent	4.34	1.1359
blown	4.34	1.394
burst	4.34	1.996
congress	4.34	1.7567
ditch	4.34	1.5467
droppin	4.34	1.3644
faded	4.34	1.3188
hiding	4.34	1.2875
ho	4.34	1.9337
hurry	4.34	1.5201
icy	4.34	1.8473
loud	4.34	1.8802
replaced	4.34	1.493
ripping	4.34	1.6113
shook	4.34	1.423
vampire	4.34	2.1152
hesitate	4.33	1.2481
cease	4.32	1.3768
communist	4.32	1.7431
eff	4.32	1.5706
fbi	4.32	1.4061
gop	4.32	1.2196
howling	4.32	1.8344
hunt	4.32	1.984
reduced	4.32	1.5836
scattered	4.32	1.3468
separate	4.32	1.5576
slowly	4.32	1.4348
surgical	4.32	2.0448
tripping	4.32	1.8674
waited	4.32	1.6092
yikes	4.32	1.6343
bias	4.31	1.7278
blunt	4.31	1.5181
shaking	4.31	1.7523
din	4.31	1.3261
smack	4.31	2.0021
affected	4.3	1.3887
brokerage	4.3	1.8323
drop	4.3	1.1995
formerly	4.3	1.2495
gore	4.3	1.8654
guards	4.3	1.7173
hadn't	4.3	1.2164
ich	4.3	1.5811
iran	4.3	1.632
legislation	4.3	1.5551
monday	4.3	1.8871
muslims	4.3	1.3887
naw	4.3	1.165
pit	4.3	1.0152
sneak	4.3	1.5419
so-called	4.3	1.2657
sudden	4.3	1.3132
sue	4.3	2.1595
tick	4.3	1.7053
rowdy	4.29	2.0417
slippin	4.29	1.713
chased	4.29	1.633
divide	4.29	1.4577
leavin	4.29	1.4434
mortal	4.29	2.031
rebellion	4.29	1.6833
aged	4.28	1.8521
aids	4.28	2.3477
bieber	4.28	1.011
fooling	4.28	1.5124
guerrillas	4.28	2.0004
idk	4.28	1.7028
il	4.28	1.2784
jury	4.28	1.3407
nor	4.28	1.1959
petroleum	4.28	1.6293
pimpin	4.28	2.1575
rules	4.28	1.2296
spider	4.28	2.0004
swore	4.28	1.5784
taken	4.28	1.4714
tests	4.28	1.6787
wasn't	4.28	1.1436
moan	4.27	2.2288
warn	4.27	1.7173
@justinbieber	4.26	1.7001
blows	4.26	1.7591
defendants	4.26	1.482
fck	4.26	1.7821
fires	4.26	1.7357
intervention	4.26	1.482
lawyers	4.26	1.8715
non	4.26	1.2747
outlaw	4.26	1.7001
owing	4.26	1.9463
sht	4.26	1.2257
