Word	st
question	potso
questionable	e belaetsang
questioning	lipotso
questionnaire	lipotso tsa lipotso
queue	leqhoa
queues	mahlakoreng
quibble	quibble
quiche	quiche
quick	ka potlako
quicken	tsosolosa
quickie	quickie
quickly	kapele
quickness	potlako
quicksand	potlakase
quicksilver	motlakase
quid	quid
quiescent	ho tlala
quiet	khutso
quietly	ka khutso
quill	quill
quilt	quilt
quince	quince
quinine	quinine
quintet	quintet
quirk	quirk
quirky	quirky
quit	tlohela
quits	ho tlohela
quitter	NO TRANSLATION
quiver	khohlopo
quivering	ho thothomela
quiz	potso
quorum	quorum
quota	quota
quotation	quotation
quote	qotsa
quotes	litlhaloso
quotient	quotient
rabbi	rabi
rabbit	'mutlanyana
rabble	lejoe
rabid	e bohale
rabies	rabies
raccoon	raccoon
race	morabe
racehorse	marang-rang
racer	racer
racetrack	racetrack
racial	morabe
racism	khethollo ea merabe
racist	morabe oa morabe
rack	rack
racket	racket
racketeering	ho qhekella
racking	racking
racquetball	racquetball
racy	racy
radar	radar
radial	radial
radiance	radiance
radiant	e khanyang
radiate	khanyetsa
radiation	mahlaseli a kotsi
radiator	radiator
radical	e feteletseng
radically	ka ho feletseng
radio	radio
radioactive	e tsoekere haholo
radioactivity	radioactivity
radiograph	radiograph
radiography	radiography
radiologist	radiologist
radiology	radiology
radish	radish
radium	radium
radius	radius
radon	radon
raffle	rafle
raft	raft
rag	rag
rage	khalefo
ragemode	ragemode
ragetweet	NO TRANSLATION
ragged	e tletse
raggedy	e ferekane
raging	ho halefa
rags	li-rags
ragtime	ragtime
raid	ho hlasela
raider	ho hlasela
rail	terene
railing	ho soma
railroad	terene
railway	seporo
raiment	liaparo
rain	pula
rainbow	mookoli
rainbow trout	rainbow trout
rainbows	rainbows
raincoat	raincoat
raindrops	marotholi
rainfall	pula
rainforest	rainforest
rainmaker	pula ea lipula
rainstorm	pula e nang le pula
rainy	pula
rainyday	rainyday
raise	phahamisa
raised	e tsositsoe
raisin	morara oa morara
raising	ho hōlisa
rake	rake
rally	rally
ram	RAM
ramble	khutsa
rambling	ho becha
ramp	mokoloko
rampage	ho senya
rampant	e jele setsi
rampart	sebaka sa marulelo
ramrod	ramrod
ranch	ranch
rancher	ho fokotsa
rancid	rancid
random	sekhetho
randomly	ka tloaelo
randomness	ho ba le nako
randy	ho etsa joalo
range	marang-rang
ranger	mokolosi
rank	boemo
ranking	boemo
ransom	thekollo
rant	sehlabelo
ranting	ho halefa
rap	rap
rape	ho betoa
rapid	ka potlako
rapidity	potlako
rapids	li-rapids
rapist	mofetoheli
rapper	rappere
rapping	ho senya
rapport	NO TRANSLATION
rapt	rapt
raptor	raptor
raptors	raptors
rapture	ho tsosoa
rare	e sa tloaelehang
rarely	hangata
rarity	khafetsa
rascal	morabe
rash	rash
raspberries	tse tala
raspberry	raspberi
rat	rat
ratchet	ho lekanngoa
rate	tekanyo
ratification	ratification
ratify	netefatsa
rating	lekanya
ratio	karolelano
ration	mohopolo
rational	ho utloahala
rationale	mehopolo
rationalism	ho utloahala
rationality	ho utloahala
rationalize	ipapise
rationing	ho rationing
rattan	rattan
rattle	khaba
rattled	e tletse
rattler	rattler
rattlesnake	rattlesnake
ratty	e lekaneng
raucous	e tsotehang
ravage	ho senya
rave	hlaba
raven	sekhoaba
ravenous	ho halefa
ravine	moferefere
raving	ho tsuba
ravioli	ravioli
ravishing	ho senya
raw	e tala
rawhide	rawhide
rawr	rawr
ray	ray
razor	lehare
reach	fihlella
react	arabela
reaction	ho etsa joalo
reactionary	e tsoetseng pele
reactive	e tsitsitseng
reactor	reactor
read	bala
reader	'mali
readership	ho bala
readily	ka bonolo
readiness	ho itokisetsa
reading	ho bala
readjustment	khutlisetsa ts'ebetsong
readout	bala haholo
ready	e lokile
readytogo	readytogo
reaffirm	tiisa hape
reagent	reagent
real	e le kannete
realism	'nete
realist	ea sebele
realistic	ea sebele
reality	'nete
realization	ho phethahala
realize	hlokomela
realm	sebaka
realtor	realtor
realty	sebele
ream	ream
reap	kotula
reaper	kotula
reappear	kotula hape
rear	ka morao
rearrange	hlophisa hape
rearrangement	rearrangement
reason	lebaka
reasonable	ho utloahala
reasonableness	ho ba le kahlolo e molemo
reasoning	ho beha mabaka
reasons	mabaka
reassemble	hlaka hape
reassign	khutlisa hape
reassignment	reassignment
reassurance	khothatso
reassure	kholisa
reassured	e tiisitsoe
reassuring	ho khothatsa
rebate	tsoseletso
rebel	marabele
rebellion	bofetoheli
rebellious	bofetoheli
rebels	marabele
rebirth	ho tsoaloa hape
reboot	qala hape
reborn	tsoaloa hape
rebound	ho fokotseha
rebuild	tsosolosa
rebuke	khalefo
rebut	rebutse
rebuttal	rebuttal
recalcitrant	recalcitrant
recall	hopola
recant	morao tjena
recap	khutlisa hape
recapture	ho boela
recast	e fokotsehile
recede	khaotsa
receding	ho fokotseha
receipt	kamohelo
receipts	lirisiti
receive	amohela
received	e amohetse
receiver	mokelikeli
receiving	ho amohela
recent	morao tjena
receptacle	kamohelo
reception	kamohelo
receptionist	kamohelo ea baeti
receptive	e amohelehang
receptor	mokamoli
recess	ho qeta nako
recesses	likhetho
recession	moruo
recharge	recharge
recheck	khutla hape
recherche	NO TRANSLATION
recidivism	ho tsosolosoa
recipe	recipe
recipient	mo amohelang
reciprocal	ho khutlela morao
reciprocate	khutlisetsa hape
reciprocity	ho khutlela morao
recital	ho ngola
recitation	ho pheta-pheta
recite	pheta
reckless	ho se tsotelle
recklessness	ho se tsotelle
reckon	hlahloba
reckoning	ho lekanya
reclaim	khutlisa
reclamation	ho tsosolosoa
recline	lula fatše
reclining	ho otloloha
recluse	khutla
recognition	ho amoheloa
recognizable	ho tsebahala
recognize	hlokomela
recognized	e tsejoa
recoil	hlaphoheloa
recollect	hopola
recollection	ho hopola
recombinant	recombinant
recombination	ho tsosolosoa
recommend	khothaletsa
recommendation	tlhahiso
recompense	tefello
recon	hape
reconcile	ho lumellana
reconciliation	poelano
reconfigure	khutlisetsa hape
reconnaissance	kamohelo
reconnect	ikopanya hape
reconsider	hlahloba hape
reconsideration	ho hlahlojoa hape
reconstitution	ho tsosolosoa
reconstruct	tsosolosa
reconstruction	ho tsosolosoa
reconstructive	ho tsosolosa
reconvene	khutlisetsa hape
record	rekoto
recorder	rekoto
recording	ho rekota
recount	pheta
recoup	khutla hape
recourse	ho sebetsa
recover	hlaphoheloa
recoverable	e fumanehang hape
recovery	hlaphoheloa
recreate	khutlisa hape
recreation	boithabiso
recreational	boithabiso
recruit	recruit
recruiter	mohlophisi
recruiting	ho ngolisa
recruitment	ho hira
recruits	ba hiriloeng
rectal	rectal
rectangle	letlapa
rectangular	rectangular
rectification	ho lokisoa
rectify	lokisa
rector	rector
rectory	rectory
rectum	rectum
recumbent	recumbent
recuperation	ho fola
recur	khutlela morao
recurrence	ho pheta-pheta
recurrent	e pheta-pheta
recurring	e pheta-pheta
recursion	ho khutlela morao
recursive	e pheta-pheta
recursively	khafetsa
recycle	tsosolosa
recycled	e fetotsoe hape
recycling	ho tsosolosa
red	khubelu
reddish	khubelu
redecorate	khutlisetsa hape
redeem	lopolla
redeemed	o lopolotsoe
redemption	thekollo
redesign	ho tsosolosa
redhead	khubelu
redheaded	e na le moriri o moputsoa
redirect	e tsamaisa hape
redneck	redneck
redness	bofubelu
redo	redo
redress	khalemelo
reduce	fokotsa
reduced	e fokotsehile
reduction	ho fokotseha
redundancy	ts'ebetso
redundant	e fokolang
redwood	redwood
reed	lehlaka
reef	moferefere
reefer	reefer
reefs	meferefere
reek	reek
reel	reel
reelection	reelection
reeling	ho ferekana
reenactment	ho itšoara hantle
reentry	reentry
reestablish	tsosolosa hape
ref	ref
refer	bua
referee	moferefere
reference	reference
referendum	referendum
referral	ho fetisa
refill	tlatsa
refine	ntlafatsa
refined	e hloekisitsoeng
refinement	ntlafatso
refinery	ho hloekisa
refining	ho hloekisa
refit	khaotsa
reflect	hlahisa
reflecting	ho nahanisisa
reflection	ho nahanisisa
reflective	ho nahanela
reflector	reflecteur
reflex	reflex
reflux	reflux
reform	liphetoho
reformation	phetoho
reformer	mofetoleli
refraction	ho tsuba
refractor	moqapi
refractory	ho hanyetsa
refrain	qoba
refraining	ho thibela
refresh	khatholla
refreshed	e khatholohile
refreshing	e khathollang
refreshment	khathollo
refrigerate	refrigerate
refrigeration	sehatsetsing
refrigerator	sehatsetsi
refuel	refuel
refuge	setšabelo
refugee	baphaphathehi
refund	puseletso
refurbish	lokisa
refusal	ho hana
refuse	hana
refused	hana
refusing	ho hana
refutation	ho hana
refute	hanela
regain	khutla hape
regal	regal
regalia	regalia
regard	tlhokomelo
regatta	regatta
regency	tloaelo
regenerate	tsoaloa hape
regeneration	ho tsosolosoa
regent	regent
reggae	reggae
regime	puso
regimen	regimen
regiment	lebotho
regimental	tsamaiso ea molao
region	sebaka
regional	libaka
regionalism	sebakeng sa libaka
register	ngolisa
registrar	mongolisi
registration	ho ngolisoa
registry	ho ngolisa
regress	khutlisa hape
regression	ho laola
regressive	e hlophisehileng
regret	ho ikoahlaea
regretful	ho soabile
regrettable	e soabisang
regretted	a ikoahlaea
regretting	ho ikoahlaea
regroup	kopanya hape
regular	e tloaelehileng
regularity	tloaelo
regulars	tloaelehileng
regulate	laola
regulated	e laoloang
regulation	molao-motheo
regulator	molaoli
regulatory	taolo
regurgitation	ho tsosolosa
rehab	rehab
rehabilitate	tsosolosa
rehabilitation	ho tsosolosoa
rehash	hlahisa hape
rehearsal	ho pheta-pheta
rehearse	hlaphoheloa
reign	puso
reigning	ho busa
reimburse	buseletsa
reimbursement	ho tsosolosoa
rein	tsatsi
reincarnation	ho tsoaloa hangata
reindeer	reindeer
reinforce	matlafatsa
reinforcement	ho matlafatsa
reinforcements	lithuso
reins	liphio
reinstall	tsosolosa
reinstate	tsosolosa
reinstatement	tsosoloso
reinvest	tsosolosa
reinvestment	ho tsosolosoa
reiterate	pheta hape
reject	hana
rejected	e hanngoe
rejection	ho lahla
rejects	o hana
rejoice	thaba
rejoicing	ho thaba
rejoin	kena hape
rejuvenate	tsosolosa
rejuvenated	e tsosolositsoe
rekindle	tsosolosa
relapse	ho khutlela morao
relate	pheta
related	ho amana
relation	kamano
relationship	kamano
relative	mong ka uena
relativity	ho ba le kamano e ntle
relax	Khatholoha
relaxant	phomolo
relaxation	phomolo
relaxed	ba phutholohile
relaxing	ho phomola
relay	relay
release	lokolloa
released	e lokolloa
relegation	ho hlokomoloha
relentless	e sa feleng
relevance	bohlokoa
relevancy	bohlokoa
relevant	e bohlokoa
reliability	ho tšepahala
reliable	tse tšepahalang
reliance	ho itšepa
relic	relic
relics	li-relics
relief	thuso
relieve	lokolla
relieved	e imolohile
relieving	ho imolla
relight	ho tšepahala
religion	bolumeli
religious	bolumeli
relinquish	tlohela
relish	ho thaba
relive	relive
reload	tsosolosa hape
relocate	khutlela sebakeng se seng
relocation	ho fallisoa
reluctance	ho tsilatsila
reluctant	ho tsilatsila
rely	itšetlehe
remain	lula
remainder	setseng
remaining	e setseng
remains	e sala
remake	remake
remand	remand
remark	ho bua
remarkable	e tsotehang
remarkably	e tsotehang
remarry	o nyetse hape
rematch	rematch
remedial	phekola
remedy	phekolo
remember	hopola
remembered	ho hopoloa
remembering	ho hopola
remembrance	khopotso
remind	hopotsa
reminder	khopotso
reminisce	ho hopotsa
reminiscent	ho hopola
reminiscing	ho hopola
remiss	remiss
remission	ts'oarelo
remit	khutlisa
remittance	moputso
remnant	masala
remodel	remodel
remorse	ho soaba
remorseful	ho soabile
remote	hole
remoteness	ho felloa ke matla
removal	ho tlosoa
remove	tlosa
remover	tlosa
remuneration	moputso
renaissance	tsosoloso
renal	renal
rencontre	NO TRANSLATION
rend	NO TRANSLATION
render	fana ka
rendering	ho fana
rendezvous	ho fetoha
rendition	phetolelo
renegade	litlokotsebe
renegotiate	buisana hape
renew	tsosolosa
renewal	tsosoloso
renounce	lahla
renovate	tsosolosa
renovated	e nchafalitsoe
renovation	ho lokisoa
renown	tsejoang
renowned	tse tummeng
rent	ho hira
rental	ho hira
renter	renter
renunciation	ho nyatsa
reopen	hlahisa hape
reorganization	ho hlophisa bocha
reorganize	tsosolosa hape
rep	rep
repaint	repaint
repair	ho lokisoa
repairman	mohlokomeli
reparation	phetiso
repay	buseletsa
repayment	tefo
repeal	pheta
repeat	pheta
repeated	e pheta
repeatedly	khafetsa
repeater	pheta-pheta
repel	pheta
repellant	ho iphetetsa
repellent	ho iphetetsa
repelling	ho pheta-pheta
repent	baka
repentance	pako
repentant	ba bakile
repertoire	repertoire
repertory	repertory
repetition	ho pheta-pheta
repetitive	ho pheta-pheta
rephrase	rephrase
replace	nkela sebaka
replacement	ho nkeloa sebaka
replay	replay
replenish	tlatsa hape
replete	e phetse
replica	setšoantšo se hlakileng
replicate	pheta hape
replication	ho ipheta-pheta
reply	araba
report	tlaleha
reported	e tlalehiloe
reporter	moqolotsi oa litaba
repose	phomolo
reposition	khetholla
repository	polokelo
repossess	tsosolosa
reprehensible	e le phoso
represent	emela
representation	setšoantšo
representative	moemeli
represented	e emetsoe
representing	e emelang
repress	khatholla
repressed	e hatelitsoe
repression	khatello
reprieve	phomola
reprimand	khalemela
reprint	hlahisa hape
reprisal	ho iphetetsa
reprise	tsosolosa
reproach	nyeliso
reproduce	hlahisa
reproduction	ho ikatisa
reproductive	ho ikatisa
reprogram	ho rutoa hape
reptile	reptile
republic	republica
republican	republicaan
repudiation	ho hana
repugnance	ho iphetetsa
repugnant	e nyonyehang
repulsion	pheta-pheta
repulsive	ho nyenyefatsa
repurchase	thekollo
reputable	e hlomphehang
reputation	botumo
repute	pheta hantle
reputed	e hlalosoa
request	kopo
requiem	requiem
require	hloka
required	e hlokehang
requirement	tlhokahalo
requisite	e hlokahalang
requisition	kopo e hlokahalang
reread	bala hape
reroute	reroute
rerun	khutla hape
reschedule	kakaretso
rescind	hlakola
rescission	hlakola
rescue	pholosa
research	lipatlisiso
researcher	mofuputsi
resection	resection
resemblance	ho tšoana
resemble	tšoana
resembling	e tšoanang
resent	ho hlonama
resentful	ho hlonama
resentment	lehloeo
reservation	ho boloka
reserve	sebaka sa polokelo
reserved	e boloketsoe
reserves	mehloli
reservoir	letamo
reset	tsosolosa
reside	lula
residence	bolulo
residences	libaka tsa bolulo
residency	ho lula
resident	ea lulang teng
residential	Motseng
residual	ho sala
residue	masala
resign	itokolla
resignation	ho itokolla mosebetsing
resigned	o tlohetse mosebetsi
resilience	ho ba le botsitso
resilient	e tsitsitseng
resin	resin
resist	hanela
resistance	ho hanyetsa
resistant	e hanyetsang
resisting	ho hanyetsa
resistive	ho hlasela
resolute	e tiile
resolutely	ka tieo
resolution	qeto
resolve	rarolla
resolved	e rarolitsoe
resonance	resonance
resonant	resonant
resonate	hlahisa hape
resonator	resonator
resort	resort
resounding	ho tsosolosa
resource	mohloli
resourceful	tse nang le tsebo
resources	lisebelisoa
respect	tlhompho
respectability	tlhompho
respectable	hlompheha
respected	hlomphuoa
respectful	ho hlompha
respecting	ho hlompha
respective	tse ling
respects	litlhompho
respiration	ho hema
respirator	phefumoloho
respiratory	phefumoloho
respite	phefu
resplendent	e hlasimollang
respond	arabela
respondent	ea arabelang
response	karabo
responsibility	boikarabello
responsible	ea ikarabellang
responsive	e arabelang
rest	phomola
restart	qala hape
restaurant	restaurant
rested	phomole
restful	ho phomola
restitution	ho tsosolosoa
restless	e sa phomole
restlessness	ho se phomole
restock	khutlisa hape
restoration	tsosoloso
restorative	tsosoloso
restore	tsosolosa
restored	tsosolosoa
restoring	ho tsosolosa
restrain	thibela
restrained	e thibetsoe
restraining	ho thibela
restraint	thibelo
restrict	thibela
restricted	e lekanyelitsoe
restriction	thibelo
restrictive	thibelo
restroom	sebaka sa ho phomola
result	sephetho
resultant	sephetho
resume	lethathamo la tsebo tsa hau
resumption	ho tsosolosoa
resurrect	tsosa
resurrection	tsoho
resuscitate	tsosolosa
resuscitation	tsosoloso
retail	thekiso
retailer	mohoebi
retain	boloka
retainer	retainer
retaining	ho boloka
retake	khutlisa
retaliate	phetetsa
retaliation	ho iphetetsa
retaliatory	ho iphetetsa
retard	lieha
retardation	ho lieha
retarded	e liehile
retards	litlhapi
retention	ts'ireletso
retentive	ho ela hloko
rethink	hlahloba hape
reticent	e sa amoheleng
retina	retina
retinal	retinal
retire	tlohela mosebetsi
retired	ba tlohetse mosebetsi
retirement	ho tlohela mosebetsi
retiring	ho tlohela mosebetsi
retold	khutlisetsoa hape
retort	pheta
retrace	khutlela morao
retract	khutlisa
retraction	hlakola
retractor	rekotla
retreat	tlohela
retrenchment	ho fokotsoa
retrial	khutla hape
retribution	tefello
retrieval	ho khutlisetsoa
retrieve	fumana
retriever	sekhetho
retro	retro
retroactive	ho khutlela morao
retrograde	tsosolosa
retrospect	ho khutlela morao
retrospective	ho khutlela morao
retrospectively	retrospectively
return	khutla
reunion	ho kopana hape
reunite	kopana hape
reunited	ho kopane hape
rev	Rev
reveal	senola
revel	revel
revelation	tšenolo
revelations	litšenolo
revels	lipontšo
revenge	phetetsa
revenue	chelete
reverberation	reverberation
revere	tlhompho
reverence	tlhompho
reverend	reverend
reverent	tlhompho
reverie	reverie
reversal	ho fetoha
reverse	ho furalla
reversion	tsosoloso
revert	khutlela morao
reverting	ho tsosolosa
review	hlahloba
reviewer	mohlahlobi
revise	tsosolosa
revision	phetolelo
revisit	khutlela hape
revival	tsosoloso
revive	hlasimolla
revocation	ho tsosolosoa
revoke	khutlisa
revolt	bofetoheli
revolting	ho fetohela
revolution	revolution
revolutionary	phetoho
revolutionize	fetola
revolve	ho fetoha
revolver	mofetoheli
revolving	ho fetoha
revue	tlhahlobo
revulsion	bofetoheli
revving	ho iphetetsa
reward	moputso
rewarding	e khotsofatsang
rewind	khutlisa hape
rewire	rewire
rewrite	ngola hape
rhapsody	rhapsody
rhetoric	phetolelo
rhetorical	ho pheta-pheta
rheumatism	rheumatism
rhinestone	lenane la leshome
rhino	rhino
rhinoceros	li-rhinino
rhubarb	rhubarb
rhyme	lipina
rhyming	rhyming
rhythm	rhythm
rhythmic	boitšisinyo
rhythmical	e utloahalang
rib	nthane
ribbed	robbed
ribbon	ribone
rice	raese
rich	ruileng
riches	maruo
richness	maruo
rick	rick
rickety	ho tsuba
rickshaw	rickshaw
ricochet	ricochet
rid	tlosa
riddance	ho lahla
riddle	setloholo
riddled	tse tala
ride	ho palama
rider	ea palama
ridge	lebōpo
ridicule	ho soma
ridiculed	songoa
ridiculous	leqheka
riding	ho palama
rife	ho tsuba
riff	riff
riffraff	ho ferekana
rifle	sethunya
rifleman	sethunya
rifles	lithunya
rift	moferefere
rig	ho thata
rigged	e hahiloe
rigging	ho betla
right	ka ho le letona
righteous	o lokile
righteousness	ho loka
rightful	e nepahetse
rightly	ka nepo
righty	e nepahetse
rigid	e thata
rigidity	ho tsitsisa
rigor	ka matla
rigorous	e tsotehang
rim	moferefere
rind	rind
ring	lesale
ringer	ringer
ringing	ho lla
ringleader	motsamaisi
ringmaster	mookameli
ringside	khalala
rink	rink
rinse	hlakola
riot	merusu
rioting	ho tlōla
riotous	e tsosang takatso
riots	merusu
rip	Robala Ka Khotso
riparian	lipalesa
ripe	e butsoitseng
ripen	hlahisa
ripening	ho butsosa
ripper	moferefere
ripple	ho phatloha
rippling	ho tlōla
rise	tsoha
rising	ho phahama
risk	kotsi
risky	kotsi
risotto	risotto
rite	kete
ritual	tloaelo
ritualistic	litloaelo
rival	mohanyetsi
rivalry	tlhōlisano
river	nōka
riverbank	lebopo la noka
riverbed	nōka
riverboat	sekepe sa nōka
rivet	rivet
riveted	ho lla
riveting	riveting
roach	roach
road	tsela
roadblock	tsela e thibelang tsela
roadhouse	roadhouse
roadie	roadie
roadrage	NO TRANSLATION
roadrunner	tsela ea ho tsamaea
roads	litsela
roadside	ka thōko ho tsela
roadster	roadster
roadtrip	litsela
roadway	tsela
roadworks	litsela tsa litsela
roam	roam
roar	ho puruma
roaring	ho puruma
roast	roast
roasted	e halikiloeng
rob	rob
robber	lesholu
robbery	ho tlatlapa
robe	seaparo
robin	robin
robot	robot
robotic	robotiki
robotics	robotics
robust	e tsitsitseng
roc	roc
rock	lefika
rocker	rocker
rocket	rocket
rocks	majoe
rod	molamu
rodent	molota
rodeo	rodeo
roe	roe
rogue	e bohale
role	karolo
roll	moqolo
roller	ho roala
rollercoaster	roller coaster
rollers	li-rollers
rollicking	rollicking
rolling	ho rola
roman	moratuoa
romance	lerato
romantic	lerato
romanticism	ho ratana
romp	ho phatloha
roof	marulelong
rooftop	marulelong
rook	rook
rookie	rookie
room	sebaka
roomful	ho ba le kamore
roommate	motho ea lulang le eena
rooms	likamore
roomy	e ntle
roost	motsoako
rooster	rooster
root	motso
root beer	motso oa biri
rooted	e metse ka metso
rope	thapo
ropes	liropo
rosary	rosari
rose	tsoha
rosemary	rosemary
rosette	rosette
roster	roster
rosy	e phetse hantle
rot	bola
rota	rota
rotary	rotary
rotate	fetola
rotation	potoloho
rote	rote
rotor	rotor
rotten	e bolile
rotting	ho bola
rotunda	rotunda
rouge	rouge
rough	e bohale
roughly	habonolo
roughneck	hahahahahaha
roughness	ho halefa
roulette	roulette
round	ho pota
roundabout	ho potoloha
rounded	ho pota-potiloe
roundup	akaretsa
rouse	tsoha
rouser	tsosoa
rousing	ho tsosoa
rout	tloaelo
route	tsela
routine	tloaelo
rove	rove
rover	rover
roving	ho tsamaea
row	mola
rowboat	lebokoat
rowdy	e tletse
rowing	ho roka
royal	borena
royalty	borena
rub	hlakola
rubber	rabara
rubbers	rubbers
rubbing	ho hlola
rubbish	lithōle
rubble	marang-rang
rubdown	ho senya
rubric	ruburu
ruby	ruby
ruckus	ruckus
rudder	ho feta
ruddy	e mongobo
rude	e sehlōhō
rudeness	bolotsana
rudimentary	e fapaneng
rudiments	litšila
rue	rue
rueful	robala
ruff	ruff
ruffian	ba ruileng
ruffle	ho senya
rug	rug
rugby	rugby
rugged	e meholo
ruin	tšenyo
ruination	ho senya
ruined	e senyehile
ruinous	e senyang
ruins	lithako
rule	puso
ruler	'musi
ruling	ho busa
rum	ramo
rumba	rumba
rumble	ho tletleba
rummage	ho ruruha
rumor	leshano
rumored	ho buuoa hampe
rump	rump
rumpus	rumpus
run	matha
runaround	e tsamaeang hantle
runaway	baleha
rundown	senyehile
runes	li matha
rung	rung
runner	semathi
running	ho matha
running shoes	lieta tse matha
runny	runny
runt	NO TRANSLATION
runway	tsela
rupture	ho phatloha
rural	mahaeng
ruse	NO TRANSLATION
rush	ho potlaka
rushing	ho potlakela
rust	mafome
rusted	e lahliloe
rustic	rustic
rustle	mokokotlo
rustler	mokokotlo
rusty	le mafome
rut	rut
ruth	ruth
ruthless	e sehlōhō
rye	rye
sabbatical	sabbatical
saber	NO TRANSLATION
sable	sable
sabotage	masapo
saboteur	saboteur
sac	sac
sack	saka
sacrament	sakramente
sacred	e halalelang
sacrifice	sehlabelo
sacrifices	mahlabelo
sacrificial	sehlabelo
sacrilege	sehlabelo
sacrilegious	boikhohomoso
sad	masoabi
sadday	NO TRANSLATION
saddens	bohloko
saddle	sesebelisoa
sadist	sadist
sadistic	ho se tsotelle
sadly	ka masoabi
sadness	ho hlomoha
safari	safari
safe	sireletsehile
safeguard	sireletsa
safekeeping	ho sireletsa
safety	polokeho
saffron	safrone
sag	sag
saga	saga
sage	bohlale
saggy	saggy
sail	tsamaea ka sekepe
sailboat	sekepe sa sekepe
sailing	ho tsamaea ka sekepe
sailor	sekepe sa sekepe
saint	saint
sainted	sainted
saintly	sahala
sake	hobane
salad	salate
salamander	salamander
salami	salami
salary	moputso
sale	rekisoe
salesgirl	salegirl
salesman	morekisi
salient	e sa sebetse
saline	saline
saliva	marapo
sally	sally
salmon	salemone
salmonella	salmonella
salon	salon
saloon	saloon
salsa	salsa
salt	letsoai
salted	letsoai
saltwater	metsi a letsoai
salty	letsoai
salutary	salutary
salutation	ho lumelisa
salute	salute
salvage	salvage
salvation	poloko
salve	salve
samba	samba
sameness	sameness
sample	mohlala
samurai	samaki
sanatorium	sanatorium
sanctification	khalaletso
sanctified	ba halalelitsoe
sanctify	halaletsa
sanctimonious	ho halaletsa
sanction	taeo
sanctioned	a lumelloa
sanctity	khalalelo
sanctuary	sehalalelo
sanctum	sanctum
sand	lehlabathe
sandal	sandal
sandbox	sandbox
sander	sander
sandman	sandman
sandpaper	sandpaper
sands	lehlabathe
sandstorm	sefefo sa lehlabathe
sandwich	sandwich
sandy	lehlabathe
sane	bobebe
sanguine	sanguine
sanitarium	sanitarium
sanitary	bohloeki
sanitation	bohloeki
sanity	sanity
sans	NO TRANSLATION
santa	santa
sap	senya
sapiens	li-sapiens
sapphire	safire
sappy	sappy
sarcasm	ho phoqa
sarcastic	ho soma
sarcoma	sarcoma
sarcophagus	sarcophagus
sardine	saratintsí
sardonic	sardonic
sarsaparilla	sarsaparilla
sash	sash
sashimi	sashimi
sassafras	khaled
sassy	sassy
satanic	Satane
satchel	satchel
sate	NO TRANSLATION
satellite	satellite
satin	satin
satire	ho suthela
satirical	satirical
satisfaction	khotsofalo
satisfactorily	e khotsofatsang
satisfactory	e khotsofatsang
satisfied	khotsofetse
satisfy	khotsofatsa
satisfying	e khotsofatsang
saturate	tlatsa
saturated	e phethehile
saturation	ho tlatsa
satyr	satyr
sauce	mongobo
saucepan	saucepan
saucer	saoso
saucy	saucy
sauerkraut	sauerkraut
sauna	sauna
sausage	boroso
savage	savage
savagery	savagery
savanna	savanna
savannah	savanna
savant	savant
save	pholosa
saver	saver
saving	ho pholosa
savings	ho boloka
savior	mopholosi
savor	monate
savory	sa boloka
savvy	savvy
saw	e bone
sawdust	sawdust
sawmill	sesebelisoa
sax	sax
saxophone	saxophone
say	e re
sayonara	NO TRANSLATION
scab	lekhala
scabbard	sekere
scaffold	scaffold
scaffolding	ho senya
scalding	scalding
scale	tekanyo
scales	sekala
scallop	scallop
scalp	scalp
scalpel	scalpel
scaly	sekoli
scam	boqhekanyetsi
scamp	sekhahla
scampi	scampi
scan	scan
scandal	sekhobo
scandalous	e tšosang
scanner	scanner
scanty	e fokolang
scape	scape
scapegoat	ho hlasela
scar	letlalo
scarab	scarab
scarce	ho haella
scarcely	ha ho joalo
scarcity	khaello
scare	tšosa
scarecrow	scarecrow
scared	tšohile
scares	likhathatso
scarf	lekhalo
scarier	e tšabehang
scariest	e tšabehang
scarlet	sekareleta
scary	e tšosang
scat	hlakola
scatter	hasanya
scattered	ba hasane
scattering	ho hasanya
scavenger	moferefere
scenario	boemo
scene	boemo
scenery	sebaka sa tlhaho
scenic	e tloaelehileng
scent	monko o monate
scented	monko o monate
scepter	lere la borena
sceptical	ba belaela
scepticism	ho belaela
schadenfreude	schadenfreude
schedule	kemiso
schematic	leeme
scheme	moralo
schilling	schilling
schism	ho hloka toka
schizophrenia	schizophrenia
schizophrenic	schizophrenic
schlep	schlep
schmuck	NO TRANSLATION
schnapps	schnapps
schnitzel	schnitzel
scholar	setsebi
scholarly	setsebi
scholarship	litsebi
scholastic	lithuto
school	sekolo
schoolboy	ngoana oa sekolo
schoolgirl	sekolo sa sekolo
schoolhouse	ntlo ea sekolo
schooling	sekolo
schoolmaster	mosuoe oa sekolo
schoolteacher	NO TRANSLATION
schoolwork	mosebetsi oa sekolo
schoolyard	sekolo sa sekolo
schooner	setsebi sa thuto
sciatica	sciatica
science	saense
scientific	saense
scientist	rasaense
scifi	ho hlaseloa
scintilla	NO TRANSLATION
scintillating	scintillating
scintillation	scintillation
scintillator	scintillator
scion	scion
scissors	lisekere
scoff	ho soma
scold	khaola
scolding	ho phunya
scone	ho senya
scoop	khaola
scoot	scoot
scooter	scooter
scope	bophara
scorch	hlaba
scorching	ho chesa
score	Laduma
scoreboard	lebokose la lipalo
